Portal,Date,Time,Download Status,Customer PO Number,Directory path,SAP Order number,Order confirm Date,Processing Status,Comments
KHS,02092020,1226,Success,004520102,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1226_ZMEOORD49_0045201028.pdf,,,Pending,NA,
KHS,02092020,1226,Success,004520206,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1226_ZMEOORD49_0045202069.pdf,,,Pending,NA,
KHS,02092020,1226,Success,004520541,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1226_ZMEOORD49_0045205411.pdf,,,Pending,NA,
KHS,02092020,1226,Success,004520554,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1226_ZMEOORD49_0045205542.pdf,,,Pending,NA,
KHS,02092020,1234,Success,004520541,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1234_ZMEOORD49_0045205411.pdf,,,Pending,NA,
KHS,02092020,1234,Success,004520554,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1234_ZMEOORD49_0045205542.pdf,,,Pending,NA,
KHS,02092020,1234,Success,004520102,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1234_ZMEOORD49_0045201028.pdf,,,Pending,NA,
KHS,02092020,1234,Success,004520541,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1234_ZMEOORD49_0045205411.pdf,,,Pending,NA,
KHS,02092020,1234,Success,004520554,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\02092020\Data\KHS_02092020_1234_ZMEOORD49_0045205542.pdf,,,Pending,NA,
