Portal,Date,Time,Download Status,Customer PO Number,Directory path,SAP Order number,Order confirm Date,Processing Status,Comments
KHS,13082020,1614,Success,004519663,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\13082020\Data\KHS_13082020_1614_ZMEOORD49_0045196634.pdf,,,Pending,NA,
KHS,13082020,1614,Success,004519797,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\13082020\Data\KHS_13082020_1614_ZMEOORD49_0045197976.pdf,,,Pending,NA,
KHS,13082020,1614,Success,004519883,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\13082020\Data\KHS_13082020_1614_ZMEOORD49_0045198838.pdf,,,Pending,NA,
KHS,13082020,1726,Success,004519663,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\13082020\Data\KHS_13082020_1726_ZMEOORD49_0045196634.pdf,,,Pending,NA,
KHS,13082020,1726,Success,004519797,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\13082020\Data\KHS_13082020_1726_ZMEOORD49_0045197976.pdf,,,Pending,NA,
KHS,13082020,1734,Success,004519797,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\13082020\Data\KHS_13082020_1734_ZMEOORD49_0045197976.pdf,,,Pending,NA,
