Portal,Date,Time,Download Status,Customer PO Number,Directory path,SAP Order number,Order confirm Date,Processing Status,Comments
KHS,05082020,1844,Success,004519016,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\05082020\Data\KHS_05082020_1844_ZMEOORD49_0045190160.pdf,,,Pending,NA,
KHS,05082020,1844,Success,004519649,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\05082020\Data\KHS_05082020_1844_ZMEOORD49_0045196497.pdf,,,Pending,NA,
KHS,05082020,1845,Success,004519016,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\05082020\Data\KHS_05082020_1845_ZMEOORD49_0045190160.pdf,,,Pending,NA,
KHS,05082020,1845,Success,0045196497.pd,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\05082020\Data\KHS_05082020_1845_ZMEOORD49_0045196497.pdf.crdownload,,,Pending,NA,
KHS,05082020,1900,Success,004519016,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\05082020\Data\KHS_05082020_1900_ZMEOORD49_0045190160.pdf,,,Pending,NA,
KHS,05082020,1900,Success,0045196497.pd,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\05082020\Data\KHS_05082020_1900_ZMEOORD49_0045196497.pdf.crdownload,,,Pending,NA,
