Portal,Date,Time,Download Status,Customer PO Number,Directory path,SAP Order number,Order confirm Date,Processing Status,Comments
KHS,1082020,1213,Success,4519016,E:\Test_Portal_Automation\KHS\Run\01082020\Data\KHS_04082020_1213_ZMEOORD49_0045190160.pdf,3456,07062020,Pending,NA
KHS,1082020,1214,Success,4519016,E:\Test_Portal_Automation\KHS\Run\01082020\Data\KHS_04082020_1214_ZMEOORD49_0045190160.pdf,,,Pending,NA
KHS,1082020,1217,Success,4519016,E:\Test_Portal_Automation\KHS\Run\01082020\Data\KHS_04082020_1217_ZMEOORD49_0045190160.pdf,,,Pending,NA
