Portal,Date,Time,Download Status,Customer PO Number,Directory path,SAP Order number,Order confirm Date,Processing Status,Comments,null
KHS,10082020,1644,Success,004519620,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1644_ZMEOORD49_0045196203.pdf,123445767,12082020,Pending ,NA ,['']
KHS,10082020,1644,Success,004519663,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1644_ZMEOORD49_0045196634.pdf,23456778,11082020,Pending,NA,['']
KHS,10082020,1644,Success,004519747,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1644_ZMEOORD49_0045197473.pdf,12345566,12082020,Procesed,todyas Today,['']
KHS,10082020,1731,Success,004519620,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1731_ZMEOORD49_0045196203.pdf,,,Pending,NA,
KHS,10082020,1731,Success,004519663,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1731_ZMEOORD49_0045196634.pdf,,,Pending,NA,
KHS,10082020,1751,Success,004519620,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1751_ZMEOORD49_0045196203.pdf,,,Pending,NA,
KHS,10082020,1751,Success,004519663,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1751_ZMEOORD49_0045196634.pdf,,,Pending,NA,
KHS,10082020,1751,Success,004519747,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1751_ZMEOORD49_0045197474.pdf,,,Pending,NA,
KHS,10082020,1854,Success,004519620,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1854_ZMEOORD49_0045196203.pdf,,,Pending,NA,
KHS,10082020,1854,Success,004519663,E:\Pratibha\Rexnord\Rexnord Automation-Ui\src\assets\KHS\Run\10082020\Data\KHS_10082020_1854_ZMEOORD49_0045196634.pdf,,,Pending,NA,
